Parentgene	Type	Number	Frequency
ABI3BP	Germline	0	0.0000
ABI3BP	Somatic	1	0.0015
ABI3BP	Loss	0	0.0000
ACP1	Germline	0	0.0000
ACP1	Somatic	1	0.0015
ACP1	Loss	0	0.0000
ACTG1	Germline	0	0.0000
ACTG1	Somatic	2	0.0030
ACTG1	Loss	0	0.0000
ACTL6A	Germline	0	0.0000
ACTL6A	Somatic	2	0.0030
ACTL6A	Loss	0	0.0000
ACTR3B	Germline	0	0.0000
ACTR3B	Somatic	1	0.0015
ACTR3B	Loss	0	0.0000
ADH7	Germline	0	0.0000
ADH7	Somatic	1	0.0015
ADH7	Loss	0	0.0000
ADSS	Germline	0	0.0000
ADSS	Somatic	1	0.0015
ADSS	Loss	0	0.0000
AHSA1	Germline	2	0.0015
AHSA1	Somatic	0	0.0000
AHSA1	Loss	0	0.0000
AK056817	Germline	0	0.0000
AK056817	Somatic	1	0.0015
AK056817	Loss	0	0.0000
AK128818	Germline	6	0.0045
AK128818	Somatic	38	0.0573
AK128818	Loss	4	0.0060
AKR1B10	Germline	0	0.0000
AKR1B10	Somatic	1	0.0015
AKR1B10	Loss	0	0.0000
AKR1C1	Germline	0	0.0000
AKR1C1	Somatic	3	0.0045
AKR1C1	Loss	0	0.0000
AKR1C2	Germline	0	0.0000
AKR1C2	Somatic	4	0.0060
AKR1C2	Loss	0	0.0000
AKR1C3	Germline	0	0.0000
AKR1C3	Somatic	5	0.0075
AKR1C3	Loss	0	0.0000
ALDH1A1	Germline	0	0.0000
ALDH1A1	Somatic	3	0.0045
ALDH1A1	Loss	0	0.0000
ALDH3A1	Germline	0	0.0000
ALDH3A1	Somatic	2	0.0030
ALDH3A1	Loss	0	0.0000
ALG14	Germline	0	0.0000
ALG14	Somatic	1	0.0015
ALG14	Loss	0	0.0000
ALX1	Germline	0	0.0000
ALX1	Somatic	1	0.0015
ALX1	Loss	0	0.0000
AMD1	Germline	2	0.0015
AMD1	Somatic	0	0.0000
AMD1	Loss	0	0.0000
AMN1	Germline	0	0.0000
AMN1	Somatic	1	0.0015
AMN1	Loss	0	0.0000
AMZ2	Germline	0	0.0000
AMZ2	Somatic	1	0.0015
AMZ2	Loss	0	0.0000
ANP32E	Germline	0	0.0000
ANP32E	Somatic	1	0.0015
ANP32E	Loss	0	0.0000
ANXA2	Germline	0	0.0000
ANXA2	Somatic	2	0.0030
ANXA2	Loss	0	0.0000
ANXA4	Germline	0	0.0000
ANXA4	Somatic	1	0.0015
ANXA4	Loss	0	0.0000
AP1M2	Germline	0	0.0000
AP1M2	Somatic	1	0.0015
AP1M2	Loss	0	0.0000
AP2B1	Germline	0	0.0000
AP2B1	Somatic	1	0.0015
AP2B1	Loss	0	0.0000
AP2M1	Germline	0	0.0000
AP2M1	Somatic	1	0.0015
AP2M1	Loss	0	0.0000
AP3D1	Germline	0	0.0000
AP3D1	Somatic	1	0.0015
