Sample	ID	Lane	Patient	Type	RG9MTD1	RG9MTD1_num	Expression	Gene
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	735.298	MT-ATP6
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	22.589	MT-ATP8
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	2531.632	MT-CO1
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	1044.947	MT-CO2
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	1369.309	MT-CO3
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	524.699	MT-CYB
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	231.548	MT-ND1
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	1310.961	MT-ND2
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	277.162	MT-ND3
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	3554.858	MT-ND4
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	356.724	MT-ND4L
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	358.157	MT-ND5
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	45.511	MT-ND6
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	62.959	MT-RNR1
003T	003T-R17006703LD01	R17006703LD01	3	Tumor	NO	0	367.162	MT-RNR2
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	2099.686	MT-ATP6
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	48.29	MT-ATP8
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	15294.314	MT-CO1
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	3401.861	MT-CO2
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	4940.115	MT-CO3
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	1431.926	MT-CYB
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	1045.805	MT-ND1
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	2724.59	MT-ND2
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	677.223	MT-ND3
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	4463.868	MT-ND4
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	368.81	MT-ND4L
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	977.279	MT-ND5
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	210.184	MT-ND6
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	1471.859	MT-RNR1
006N	006N-R17006709LD01	R17006709LD01	6	Normal	NO	0	5948.716	MT-RNR2
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	3302.673	MT-ATP6
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	76.69	MT-ATP8
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	17094.555	MT-CO1
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	4877.772	MT-CO2
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	5573.173	MT-CO3
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	2675.764	MT-CYB
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	2312.248	MT-ND1
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	4916.382	MT-ND2
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	1098.649	MT-ND3
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	7002.062	MT-ND4
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	663.683	MT-ND4L
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	2726.834	MT-ND5
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	585.195	MT-ND6
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	612.254	MT-RNR1
006T	006T-R17006711LD01	R17006711LD01	6	Tumor	NO	0	5017.143	MT-RNR2
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	4638.645	MT-ATP6
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	223.081	MT-ATP8
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	25491.451	MT-CO1
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	6845.984	MT-CO2
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	11217.133	MT-CO3
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	4634.337	MT-CYB
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	2927.928	MT-ND1
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	5220.502	MT-ND2
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	1015.54	MT-ND3
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	11032.612	MT-ND4
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	770.443	MT-ND4L
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	2559.377	MT-ND5
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	511.298	MT-ND6
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	1756.517	MT-RNR1
063N	063N-R17029097LD01-BDESCCDNA063-N	R17029097LD01	63	Normal	NO	0	8187.147	MT-RNR2
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	216.902	MT-ATP6
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	5.153	MT-ATP8
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	5022.327	MT-CO1
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	673.418	MT-CO2
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	2478.006	MT-CO3
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	188.968	MT-CYB
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	99.818	MT-ND1
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	101.062	MT-ND2
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	180.69	MT-ND3
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	331.434	MT-ND4
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	27.674	MT-ND4L
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	158.494	MT-ND5
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	4.139	MT-ND6
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	194.811	MT-RNR1
074N	074N-R17022916LD01	R17022916	74	Normal	NO	0	1559.421	MT-RNR2
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	37.202	MT-ATP6
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	0.884	MT-ATP8
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	1479.025	MT-CO1
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	219.876	MT-CO2
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	1084.487	MT-CO3
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	50.992	MT-CYB
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	26.247	MT-ND1
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	42.737	MT-ND2
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	41.315	MT-ND3
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	78.167	MT-ND4
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	6.805	MT-ND4L
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	61.111	MT-ND5
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	6.982	MT-ND6
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	13.742	MT-RNR1
074T	074T-R17022917LD01	R17022917	74	Tumor	NO	0	109.584	MT-RNR2
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	189.228	MT-ATP6
