chr	start	end	gene	num
chr17	79476996	79479892	ACTG1	2
chr3	179280707	179306193	ACTL6A	2
chr10	4934795	5020158	AKR1C1	3
chr10	5031964	5060207	AKR1C2	4
chr10	5005453	5149878	AKR1C3	5
chr9	75515577	75695358	ALDH1A1	3
chr17	19641297	19651746	ALDH3A1	2
chr15	60639349	60690185	ANXA2	2
chr2	202098165	202152434	CASP8	2
chr1	214776531	214837914	CENPF	6
chr17	7788122	7816075	CHD3	4
chr12	6679247	6716551	CHD4	2
chr2	238232654	238322850	COL6A3	3
chr4	47452810	47465676	COMMD8	2
chr3	122044010	122060815	CSTA	7
chr7	25158269	25164980	CYCS	4
chr20	17550598	17588652	DSTN	2
chr4	190988866	191010176	DUX2	2
chr6	74225472	74231291	EEF1A1	5
chr17	7465308	7482324	EIF4A1	10
chr8	82192717	82197012	FABP5	2
chr9	42466316	43035584	FAM95B1	3
chrX	153576899	153603006	FLNA	2
chr11	61731756	61735132	FTH1	6
chr1	173833038	173837125	GAS5	24
chr21	34106209	34144169	GCFC1	2
chr19	48248792	48274141	GLTSCR2	3
chr7	72569011	74867341	GTF2I	2
chr1	156711898	156736717	HDGF	2
chr10	71029755	71161637	HK1	2
chr19	8509802	8553996	HNRNPM	2
chr8	99114566	99129418	HRSP12	4
chr12	104324188	104341703	HSP90B1	3
chr17	39679868	39942964	JUP	2
chrX	56258821	56314322	KLF8	2
chr4	39046450	39127853	KLHL5	2
chr17	66031847	66042970	KPNA2	2
chr17	39738530	39743147	KRT14	12
chr17	39669996	39678026	KRT15	4
chr17	39775691	39780882	KRT17	7
chr12	52908358	52914243	KRT5	52
chr12	52880957	52887181	KRT6A	23
chr12	53290970	53343626	KRT8	3
chr14	56046924	56151302	KTN1	8
chr8	120220609	120257914	MAL2	2
chr7	42971938	42977453	MRPL32	2
chr1	174982093	174992591	MRPS14	2
chr16	56700652	56701977	MT1G	2
chr2	232319458	232329205	NCL	2
chrX	119005733	119010629	NDUFA1	2
chr7	10971579	10979813	NDUFA4	3
chr4	140211070	140223705	NDUFC1	3
chr14	24686056	24701576	NEDD8	3
chr22	42069936	42084913	NHP2L1	2
chr15	41624891	41673248	NUSAP1	2
chr6	138409641	138428660	PERP	2
chr11	74303628	74353765	POLD3	2
chr20	62152132	62153524	PPDPF	6
chr11	67165651	67188654	PPP1CA	2
chr7	142457318	142480068	PRSS1	7
chr17	40976442	40995777	PSME3	2
chr5	159848864	159855746	PTTG1	2
chr20	56884770	56942563	RAB22A	2
chr9	104296132	104325626	RNF20	2
chr8	99037078	99057818	RPL30	3
chr3	12876443	12883081	RPL32	4
chr3	197677051	197682721	RPL35A	2
chr9	136215068	136218280	RPL7A	3
chr15	69745158	69747884	RPLP1	4
chr19	49999633	50002944	RPS11	2
chr4	152020753	152025804	RPS3A	2
chr2	10262694	10271546	RRM2	2
chr1	152004981	152009511	S100A11	10
chr1	153507075	153508717	S100A6	2
chr9	101984569	101992901	SEC61B	2
chr11	62619459	62623360	SNHG1	2
chr1	173833970	173834041	SNORD80	2
chr1	153003678	153005376	SPRR1B	2
chr2	54683453	54898583	SPTBN1	2
chr17	73163824	73179098	SUMO2	3
chr10	29746276	30025864	SVIL	2
chr11	85405264	85522178	SYTL2	2
chr17	38544772	38574202	TOP2A	2
chr3	101280711	101285089	TRMT10C	162
chr6	30688156	30693195	TUBB	3
chr19	1597153	1605483	UQCR11	4
chr1	43148065	43168020	YBX1	3
chr17	1247833	1303556	YWHAE	2
chr5	795719	851101	ZDHHC11	9
