chr	start	end	gene
chr19	1597153	1605483	UQCR11
chr3	101280711	101285089	TRMT10C
chr12	52908358	52914243	KRT5
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr1	214776531	214837914	CENPF
chr16	56700652	56701977	MT1G
chr3	197369919	197372891	AK128818
chr12	52908358	52914243	KRT5
chr2	238232654	238322850	COL6A3
chr3	197369919	197372891	AK128818
chr16	54952777	54963079	PNAS-108
chr9	75515577	75695358	ALDH1A1
chr3	197369919	197372891	AK128818
chr2	10262694	10271546	RRM2
chr20	62152132	62153524	PPDPF
chr12	52880957	52887181	KRT6A
chr22	42069936	42084913	NHP2L1
chr17	7465308	7482324	EIF4A1
chr12	6679247	6716551	CHD4
chr12	52908358	52914243	KRT5
chr9	66457288	66469310	CR627148
chr14	56046924	56151302	KTN1
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr12	52880957	52887181	KRT6A
chr1	173833038	173837125	GAS5
chr12	6679247	6716551	CHD4
chr1	174982093	174992591	MRPS14
chr3	101280711	101285089	TRMT10C
chr22	36677322	36784063	MYH9
chr3	122044010	122060815	CSTA
chr3	122044010	122060815	CSTA
chr3	197369919	197372891	AK128818
chr10	5031964	5060207	AKR1C2
chr3	101280711	101285089	TRMT10C
chr1	173833038	173837125	GAS5
chrX	56258821	56314322	KLF8
chr17	7788122	7816075	CHD3
chr3	197369919	197372891	AK128818
chr11	61731756	61735132	FTH1
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr12	52880957	52887181	KRT6A
chr17	73163824	73179098	SUMO2
chr1	214776531	214837914	CENPF
chr21	34106209	34144169	GCFC1
chr21	34106209	34144169	GCFC1
chr7	10971579	10979813	NDUFA4
chr17	7465308	7482324	EIF4A1
chr17	19641297	19651746	ALDH3A1
chr17	39775691	39780882	KRT17
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr1	173833038	173837125	GAS5
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr17	39679868	39942964	JUP
chr3	179280707	179306193	ACTL6A
chr12	120634502	120639014	RPLP0
chr22	36677322	36784063	MYH9
chr8	120220609	120257914	MAL2
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr11	85405264	85522178	SYTL2
chr3	101280711	101285089	TRMT10C
chr1	173833970	173834041	SNORD80
chr1	173833038	173837125	GAS5
chr1	173833038	173837125	GAS5
chr12	52908358	52914243	KRT5
chr7	25158269	25164980	CYCS
chr12	52880957	52887181	KRT6A
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr1	153003678	153005376	SPRR1B
chr14	56046924	56151302	KTN1
