chr	start	end	col
chrX	126852693	126852704	23
chr1	55171605	55171659	1
chr4	36832151	36832162	4
chr6	94457677	94457686	6
chr1	175495546	175495552	1
chr2	22609879	22609887	2
chr3	109513816	109513816	3
chr6	126500747	126500756	6
chr3	168741886	168741898	3
chr3	170886291	170886304	3
chr8	88535497	88535627	8
chr9	103827298	103827305	9
chr3	154336753	154336945	3
chr9	108229633	108229644	9
chr10	110220186	110220199	10
chr2	84886381	84886396	2
chr9	122977712	122977758	9
chr18	41694845	41694859	18
chr1	162200151	162200211	1
chr2	53941050	53941061	2
chr13	71928666	71928715	13
chr12	81066626	81066633	12
chr2	211674017	211674341	2
chr5	62525492	62525501	5
chr6	92858110	92858110	6
chr8	94081988	94082075	8
chr1	197047723	197047737	1
chr20	16992897	16992910	20
chr2	82171365	82171378	2
chr15	50124944	50124960	15
chr20	19350743	19350757	20
chr4	67200088	67200105	4
chr7	24336532	24336586	7
chr7	46710418	46710433	7
chrX	119797436	119797444	23
chr2	116034656	116034671	2
chr8	36557784	36557784	8
chr1	87818292	87818299	1
chr6	57850978	57850988	6
chr10	6967453	6967453	10
chr7	53888399	53888415	7
chr4	107767674	107767674	4
chrX	64540063	64540081	23
chrX	127612584	127612604	23
chr11	26641989	26642031	11
chr18	41366116	41366130	18
chr3	136775010	136775017	3
chr5	25826629	25826629	5
chr11	130447109	130447127	11
chr20	51496578	51496578	20
chr7	84551507	84551507	7
chr4	173766784	173766826	4
chr14	44720524	44720603	14
chr12	38074209	38074372	12
chr13	68693636	68693649	13
chr9	107429899	107429907	9
chr7	89395931	89395931	7
chr2	146054004	146054016	2
chr1	194972802	194972817	1
chrX	50112292	50112303	23
chr12	1330508	1330521	12
chr10	16221558	16221566	10
chr5	27228199	27228211	5
chr5	113264864	113264870	5
chr2	129917678	129917686	2
chr3	173618405	173618419	3
chr14	87138428	87138440	14
chr3	180774170	180774170	3
chr2	202635340	202635340	2
chr3	103134195	103134207	3
chr4	172368178	172368192	4
chr5	135720755	135720816	5
chr10	65982441	65982480	10
chr6	118066323	118066338	6
chr14	21289172	21289387	14
chr18	51694381	51694500	18
chr5	51425716	51425728	5
chr6	104457756	104457907	6
chr12	83288561	83288567	12
chr2	237652982	237652998	2
chr4	142576454	142576467	4
chr5	177795279	177795293	5
chr12	126945841	126945849	12
chr3	103205389	103205404	3
chr2	104794290	104794304	2
chrX	96189828	96190053	23
chr4	136960619	136960786	4
chr5	128720501	128720697	5
chr8	64096048	64096060	8
chr7	84778006	84778021	7
chr20	15866093	15866256	20
chr5	89988908	89988922	5
chr5	89988903	89988922	5
chr2	22102866	22102939	2
chr8	132723852	132723866	8
chr3	112492737	112492745	3
chr7	120268093	120268093	7
chr18	50364704	50364713	18
chr1	68332292	68332301	1
chr2	78903315	78903324	2
chr2	79009222	79009229	2
chr3	89827627	89827634	3
chr4	134544071	134544084	4
chr8	36686948	36686948	8
chr1	159434322	159434339	1
chr5	109916138	109916236	5
chr1	75253092	75253104	1
chr4	67995916	67995923	4
chr2	195372727	195372746	2
chr8	16552933	16552951	8
chr20	15493685	15493693	20
chr4	29470189	29470199	4
chr1	195908731	195908766	1
chr4	64531360	64531373	4
chr8	87707747	87707754	8
chr13	84562439	84562455	13
chr4	136692636	136692650	4
chr4	118910830	118910830	4
chr4	148143425	148143435	4
chr13	95553177	95553194	13
chr13	107473657	107473667	13
chr20	53911402	53911415	20
chr11	58993626	58993639	11
chr22	32785303	32785379	22
chr9	32095011	32095011	9
chr1	181562012	181562027	1
chr3	104266206	104266237	3
chr8	130256095	130256106	8
chr13	92585707	92585720	13
chr19	37311167	37311177	19
chr6	134861957	134861973	6
chr7	145153262	145153363	7
chr1	37366297	37366311	1
chr2	35323206	35323212	2
chr4	171370863	171370879	4
chr7	26617693	26617709	7
chr7	97149818	97149921	7
chr8	76770756	76770952	8
chr10	27093311	27093325	10
chr14	43042798	43042811	14
chr2	77343232	77343249	2
chr3	35902618	35902635	3
chr11	8459168	8459182	11
chr12	3796353	3796368	12
chr3	116834996	116835010	3
chr3	175581094	175581103	3
chr4	60150397	60150412	4
chr3	180018921	180018930	3
chr5	45512529	45512529	5
chr15	34265188	34265194	15
chr2	130077796	130077813	2
chr4	95403271	95403279	4
chr2	207859960	207859974	2
chr15	61020977	61020993	15
chr13	67168665	67168692	13
chr1	230637296	230637316	1
chr7	90285263	90285277	7
chr7	154682171	154682186	7
chr11	37207334	37207387	11
chr16	59460293	59460310	16
chr3	102417971	102418018	3
chr11	19019620	19019627	11
chr3	133071455	133071470	3
chr3	95372548	95372564	3
