chr	start	end	gene	num
chr2	202098165	202152434	CASP8	74
chr7	26240830	26253227	CBX3	1231
chr8	82644687	82671748	CHMP4C	6
chr2	238232654	238322850	COL6A3	6
chr5	85913783	85916583	COX7C	16
chr22	24237097	24322019	DDT	4
chr4	190988866	191010176	DUX2	179
chr10	135483677	135495193	DUX4L3	38
chr4	190992092	191013476	DUX4L4	30
chr17	80477593	80562483	FOXK2	10
chr3	180630233	180700539	FXR1	10
chr12	6643656	6647536	GAPDH	16
chr16	81115551	81129980	GCSH	1208
chr2	198364720	198368187	HSPE1	6
chr8	98787808	98864830	LAPTM4B	8
chr3	9540044	9595486	LHFPL4	4
chr5	138609440	138667366	MATR3	14
chr15	94774800	95027181	MCTP2	414
chr2	228189977	228222549	MFF	34
chr1	236958580	237067281	MTR	8
chr6	117996616	118031886	NUS1	4
chr5	167982627	168006614	PANK3	6
chr7	44836240	44842716	PPIA	14
chr2	217363519	217366188	RPL37A	44
chr16	2012061	2014827	RPS2	98
chr1	115312104	115323308	SIKE1	42
chr13	21727733	21750741	SKA3	470
chr11	85405264	85522178	SYTL2	386
chr12	104359592	104382656	TDG	1282
chr15	41851219	41871536	TYRO3	46
chr22	30163357	30166402	UQCR10	8
chr12	124457761	124499986	ZNF664	14
