chr	start	end	col
chr12	125801148	125801164	12
chr15	40854180	40854194	15
chrY	13488869	13488921	24
chrY	13488845	13488946	24
chr12	125801148	125801164	12
chr4	7949654	7949654	4
chr12	73239572	73239578	12
chr15	40854194	40854332	15
chr3	169729734	169729746	3
chr12	125801148	125801164	12
chr4	7949631	7949654	4
chr19	24033178	24033184	19
chr15	40854180	40854194	15
chr11	108585748	108585765	11
chr11	108585748	108585765	11
chr12	125801148	125801164	12
chr3	169729723	169729746	3
chr12	73239572	73239578	12
chr19	24033178	24033184	19
chr15	40854180	40854194	15
chr11	108585748	108585765	11
chr12	125801148	125801164	12
chr19	24033178	24033184	19
chr15	40854180	40854194	15
chr12	125801148	125801164	12
chr3	169729734	169729746	3
chr19	24033178	24033184	19
chr15	40854180	40854194	15
chr12	125801146	125801164	12
chr4	7949654	7949669	4
chr12	73239572	73239578	12
chr11	108585748	108585765	11
chr15	40854180	40854194	15
chr12	125801148	125801164	12
chr15	40854180	40854194	15
chr12	73239572	73239578	12
chr19	24033178	24033184	19
chr12	125801148	125801164	12
chr12	73239572	73239578	12
chr15	40854180	40854194	15
chr12	125801148	125801164	12
chr15	40854180	40854194	15
chr15	40854180	40854194	15
chr19	24033178	24033184	19
chr15	40854180	40854194	15
chr12	125801149	125801164	12
chr15	40854180	40854194	15
chr19	24033178	24033184	19
chr11	108585748	108585765	11
chr12	125801148	125801164	12
chr4	7949558	7949669	4
chr4	7949654	7949671	4
chr11	108585748	108585765	11
chr15	40854180	40854194	15
chr12	125801148	125801164	12
chrY	13488928	13488946	24
chrY	13488845	13488946	24
chr4	7949654	7949669	4
chr4	7949654	7949671	4
chr12	73239572	73239578	12
chr19	24033178	24033184	19
chr15	40854180	40854194	15
chr12	125801064	125801164	12
chr19	24033178	24033184	19
chr15	40854180	40854194	15
chrY	13470522	13470825	24
chrY	13470515	13470522	24
chr12	125801143	125801164	12
chr11	108585748	108585765	11
chr15	53389464	53389480	15
chr15	53389464	53389480	15
chr15	40854180	40854194	15
chr12	125801095	125801164	12
chr15	40854180	40854194	15
chr3	169729738	169729746	3
chr11	108585748	108585765	11
chr15	40854179	40854194	15
chr19	24033178	24033184	19
chr19	24033178	24033184	19
chr12	125801148	125801164	12
chr15	40854180	40854194	15
chr12	125801148	125801164	12
chr4	7949654	7949669	4
chr11	108585748	108585765	11
chr15	40854180	40854194	15
chr12	125801148	125801164	12
chr19	24033178	24033184	19
chr15	40854180	40854194	15
chr12	125801148	125801164	12
chr3	169729732	169729746	3
chr19	24033178	24033184	19
chr1	217947234	217947248	1
chr15	40854180	40854194	15
chr12	125801148	125801164	12
chr11	108585748	108585765	11
chr15	40854180	40854194	15
chr12	73239572	73239578	12
chr7	128026668	128026680	7
chr7	128026406	128026668	7
chr12	125801148	125801164	12
chr11	108585748	108585765	11
chr12	73239572	73239578	12
chr19	24033178	24033184	19
chr15	40854180	40854190	15
chr12	125801148	125801164	12
chr12	73239572	73239578	12
chr15	40854180	40854194	15
chr19	24033178	24033184	19
chr12	125801148	125801164	12
chrY	13488946	13489110	24
chrY	13489110	13489137	24
chr11	108585748	108585765	11
chr15	67871530	67871544	15
chr12	73239572	73239578	12
chr19	24033178	24033184	19
chr15	40854180	40854194	15
chr12	125801148	125801164	12
chrY	13489112	13489137	24
chrY	13489111	13489137	24
chr4	7949654	7949654	4
