chr	start	end	gene
chr12	104359592	104382656	TDG
chr7	26240830	26253227	CBX3
chr4	190988866	191010176	DUX2
chr4	190988866	191010176	DUX2
chr12	104359592	104382656	TDG
chr16	22018958	22098852	C16orf52
chr15	94774800	95027181	MCTP2
chr7	26240830	26253227	CBX3
chr14	93651295	93653431	C14orf109
chr12	104359592	104382656	TDG
chr16	22018958	22098852	C16orf52
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr13	21727733	21750741	SKA3
chr13	21727733	21750741	SKA3
chr12	104359592	104382656	TDG
chr14	93651295	93653431	C14orf109
chr15	94774800	95027181	MCTP2
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr13	21727733	21750741	SKA3
chr12	104359592	104382656	TDG
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr14	93651295	93653431	C14orf109
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr16	22018958	22098852	C16orf52
chr15	94774800	95027181	MCTP2
chr13	21727733	21750741	SKA3
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr7	26240830	26253227	CBX3
chr15	94774800	95027181	MCTP2
chr16	81115551	81129980	GCSH
chr12	104359592	104382656	TDG
chr15	94774800	95027181	MCTP2
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr7	26240830	26253227	CBX3
chr7	26240830	26253227	CBX3
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr7	26240830	26253227	CBX3
chr16	81115551	81129980	GCSH
chr13	21727733	21750741	SKA3
chr12	104359592	104382656	TDG
chr16	22018958	22098852	C16orf52
chr16	22018958	22098852	C16orf52
chr13	21727733	21750741	SKA3
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr10	135483677	135495193	DUX4L3
chr10	135483677	135495193	DUX4L3
chr16	22018958	22098852	C16orf52
chr16	22018958	22098852	C16orf52
chr15	94774800	95027181	MCTP2
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr4	190988866	191010176	DUX2
chr4	190988866	191010176	DUX2
chr12	104359592	104382656	TDG
chr13	21727733	21750741	SKA3
chr16	2012061	2014827	RPS2
chr16	2012061	2014827	RPS2
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr7	26240830	26253227	CBX3
chr14	93651295	93653431	C14orf109
chr13	21727733	21750741	SKA3
chr7	26240830	26253227	CBX3
chr16	81115551	81129980	GCSH
chr16	81115551	81129980	GCSH
chr12	104359592	104382656	TDG
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr16	22018958	22098852	C16orf52
chr13	21727733	21750741	SKA3
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr14	93651295	93653431	C14orf109
chr16	81115551	81129980	GCSH
chr1	115312104	115323308	SIKE1
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr13	21727733	21750741	SKA3
chr7	26240830	26253227	CBX3
chr15	94774800	95027181	MCTP2
chr2	217363519	217366188	RPL37A
chr2	217363519	217366188	RPL37A
chr12	104359592	104382656	TDG
chr13	21727733	21750741	SKA3
chr15	94774800	95027181	MCTP2
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr15	94774800	95027181	MCTP2
chr7	26240830	26253227	CBX3
chr16	81115551	81129980	GCSH
chr12	104359592	104382656	TDG
chr10	135483677	135495193	DUX4L3
chr10	135483677	135495193	DUX4L3
chr13	21727733	21750741	SKA3
chr5	85913783	85916583	COX7C
chr15	94774800	95027181	MCTP2
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr4	190992092	191013476	DUX4L4
chr4	190992092	191013476	DUX4L4
chr16	22018958	22098852	C16orf52
chr16	22018958	22098852	C16orf52
chr13	21727733	21750741	SKA3
chr15	94774800	95027181	MCTP2
chr16	81115551	81129980	GCSH
chr12	104359592	104382656	TDG
chr16	81115551	81129980	GCSH
chr1	115312104	115323308	SIKE1
chr12	104359592	104382656	TDG
chr16	22018958	22098852	C16orf52
chr16	22018958	22098852	C16orf52
chr13	21727733	21750741	SKA3
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr16	22018958	22098852	C16orf52
chr16	81115551	81129980	GCSH
chr16	81115551	81129980	GCSH
chr12	104359592	104382656	TDG
chr16	22018958	22098852	C16orf52
chr13	21727733	21750741	SKA3
chr7	26240830	26253227	CBX3
chr13	21727733	21750741	SKA3
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr14	93651295	93653431	C14orf109
chr12	104359592	104382656	TDG
chr13	21727733	21750741	SKA3
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr13	21727733	21750741	SKA3
chr7	26240830	26253227	CBX3
chr14	93651295	93653431	C14orf109
chr16	81115551	81129980	GCSH
chr12	104359592	104382656	TDG
chr15	94774800	95027181	MCTP2
chr16	81115551	81129980	GCSH
chr7	26240830	26253227	CBX3
chr12	104359592	104382656	TDG
chr15	41851219	41871536	TYRO3
chr12	104359592	104382656	TDG
