chr	start	end	gene
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
chr3	101280711	101285089	TRMT10C
