chr	start	end	col
chr8	128503344	128503353	8
chrX	126852693	126852704	23
chr5	65823325	65823339	5
chr1	55171605	55171659	1
chr4	36832151	36832162	4
chr6	94457677	94457686	6
chr6	40378410	40378427	6
chr16	15999359	15999507	16
chr3	195671335	195671390	3
chr1	66772219	66772233	1
chr15	59075111	59075136	15
chr3	195671400	195671425	3
chr2	109774112	109774112	2
chr11	97580432	97580446	11
chr3	195671867	195671867	3
chr7	65825989	65825996	7
chr19	4098425	4098436	19
chr2	211934987	211935199	2
chr14	103149449	103149464	14
chr6	121728692	121728700	6
chr9	81735386	81735400	9
chr17	5512851	5512874	17
chrY	9941019	9941019	24
chr2	213577722	213577737	2
chr1	175495546	175495552	1
chr2	22609879	22609887	2
chr3	109513816	109513816	3
chr6	126500747	126500756	6
chr1	224628875	224628895	1
chr6	90431272	90431272	6
chr4	99331660	99331660	4
chr6	134587814	134587830	6
chr3	168741886	168741898	3
chr7	119626701	119626711	7
chr19	23968324	23968324	19
chr3	195671659	195671765	3
chr20	45932792	45932800	20
chr3	170886291	170886304	3
chr8	137115712	137115727	8
chr12	23071191	23071395	12
chr3	177183045	177183045	3
chr3	195729457	195729469	3
chr6	145725982	145726157	6
chr8	88535497	88535627	8
chr9	103827298	103827305	9
chr9	83988025	83988147	9
chrX	73939849	73939859	23
chr2	57663244	57663257	2
chrX	137123028	137123042	23
chr18	68788753	68788771	18
chr18	47295702	47295708	18
chr2	71654594	71654607	2
chr12	109468985	109468985	12
chr5	148192354	148192648	5
chr3	154336753	154336945	3
chr9	108229633	108229644	9
chr10	110220186	110220199	10
chr6	93548254	93548272	6
chr2	84886381	84886396	2
chr9	122977712	122977758	9
chr18	41694845	41694859	18
chr21	19476162	19476175	21
chr17	15150684	15150691	17
chr2	24781963	24782027	2
chr1	162200151	162200211	1
chr2	53941050	53941061	2
chr13	71928666	71928715	13
chr2	218265081	218265091	2
chr12	81066626	81066633	12
chr4	130417779	130417793	4
chr6	90431272	90431272	6
chr9	95903575	95903603	9
chr13	76102014	76102029	13
chr12	10236374	10236383	12
chr7	20774073	20774087	7
chr2	211674017	211674341	2
chr5	62525492	62525501	5
chr6	92858110	92858110	6
chr8	94081988	94082075	8
chr1	76697586	76697603	1
chr11	66933248	66933397	11
chr2	178121965	178122136	2
chr7	54536995	54537009	7
chr1	197047723	197047737	1
chr20	16992897	16992910	20
chr12	23350253	23350253	12
chr14	103702181	103702188	14
chr3	195671761	195671824	3
chr2	170318063	170318115	2
chr17	38514997	38515005	17
chr3	47691080	47691089	3
chr2	82171365	82171378	2
chr15	50124944	50124960	15
chr20	19350743	19350757	20
chr20	38773581	38773595	20
chr5	104831814	104831827	5
chr9	14142584	14142596	9
chr4	67200088	67200105	4
chr7	24336532	24336586	7
chr7	46710418	46710433	7
chrX	119797436	119797444	23
chr2	116034656	116034671	2
chr8	36557784	36557784	8
chr2	204352729	204352736	2
chr2	178019330	178019346	2
chr18	21789780	21789796	18
chr3	195671227	195671329	3
chr4	71595351	71595363	4
chr19	47336682	47336740	19
chr4	148132285	148132298	4
chr2	14792790	14792799	2
chr1	87818292	87818299	1
chr6	57850978	57850988	6
chr10	6967453	6967453	10
chr17	74313442	74313455	17
chr7	53888399	53888415	7
chr9	107607263	107607279	9
chr4	107767674	107767674	4
chrX	64540063	64540081	23
chrX	127612584	127612604	23
chr11	26641989	26642031	11
chr18	41366116	41366130	18
chr7	62667675	62667675	7
chr7	89907536	89907647	7
chr13	88147012	88147024	13
chr3	195671718	195671745	3
chr5	39841350	39841459	5
chr3	136775010	136775017	3
chr5	25826629	25826629	5
chr11	130447109	130447127	11
chr20	51496578	51496578	20
chr2	132044713	132044716	2
chr3	195671756	195671980	3
chrX	34151940	34151954	23
chr22	25292106	25292122	22
chr7	84551507	84551507	7
chr14	51053257	51053265	14
chr9	135471701	135471709	9
chr10	104913536	104913536	10
chr4	173766784	173766826	4
chr11	33614828	33614839	11
chr14	44720524	44720603	14
chr3	135229009	135229023	3
chr12	38074209	38074372	12
chr16	12222925	12222936	16
chr15	95544645	95544645	15
chr12	23071388	23071395	12
chr17	57435545	57435560	17
chr3	195671981	195672003	3
chr3	195671317	195671378	3
chr13	68693636	68693649	13
chr2	66508473	66508482	2
chr8	81511297	81511310	8
chr4	168969130	168969145	4
chr16	78176738	78176753	16
chr1	23255018	23255031	1
chr19	37466035	37466171	19
chr2	51899759	51899759	2
chr9	107429899	107429907	9
chr2	42297092	42297106	2
chr12	1367001	1367022	12
chr3	195671335	195671427	3
chr3	195671329	195671434	3
chr7	89395931	89395931	7
chr2	146054004	146054016	2
chr19	39040944	39040959	19
chr3	195729387	195729457	3
chr9	33796811	33796813	9
chr8	132359586	132359586	8
chr7	92793241	92793241	7
chr5	749213	749223	5
chr1	103622188	103622385	1
chr12	42878301	42878322	12
chr17	76979431	76979492	17
chr9	106515225	106515225	9
chr21	19476162	19476175	21
chr1	194972802	194972817	1
chrX	50112292	50112303	23
chr12	1330508	1330521	12
chr17	15150684	15150691	17
chr6	80728597	80728612	6
chr10	16221558	16221566	10
chr4	4080473	4080481	4
chr5	749175	749175	5
chr22	35762678	35762684	22
chr5	27228199	27228211	5
chr5	113264864	113264870	5
chr10	4958969	4958977	10
chr4	61201314	61201426	4
chr2	129917678	129917686	2
chr3	173618405	173618419	3
chr14	87138428	87138440	14
chr1	214747607	214747731	1
chr3	86423718	86423726	3
